序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
67,王春成,吉林大学,原子与分子物理研究所,吉林大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
68,李彬,江苏省农业科学院,兽医研究所,江苏省农业科学院,国家杰出青年科学基金获得者,2025,Unionpub学术,
69,李永明,辽宁工业大学,电气工程学院,辽宁工业大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
70,牛建钦,陆军军医大学,基础医学院,陆军军医大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
71,曾文,陆军军医大学,基础医学院,陆军军医大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
72,范晔,陆军军医大学新桥医院,重症医学科,陆军军医大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
73,周猛,南昌大学,空间科学与技术研究院,南昌大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
74,李贵新,南方科技大学,材料系,南方科技大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
75,胡延庆,南方科技大学,统计与数据科学系,南方科技大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
76,刘奇航,南方科技大学,物理系,南方科技大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
77,林君浩,南方科技大学,物理系,南方科技大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
78,饶枫,南方科技大学,生命科学学院,南方科技大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
79,应佚伦,南京大学,化学化工学院,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
80,梁勇,南京大学,化学化工学院,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
81,朱从青,南京大学,化学化工学院,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
82,李劼,南京大学,化学化工学院,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
83,韦斯,南京大学,环境学院,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
84,钟寰,南京大学,环境学院,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
85,张蜡宝,南京大学,电子科学与工程学院,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
86,王学锋,南京大学,电子科学与工程学院,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
87,王涛,南京大学,天文与空间科学学院,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
88,程鑫,南京大学,天文与空间科学学院,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
89,丁利军,南京大学鼓楼医院,生殖医学中心,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
90,王雷,南京大学,物理学院,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
91,宋培建,南京大学,商学院,南京大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
92,刘树伟,南京农业大学,资源与环境科学学院,南京农业大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
93,乐旭,南京信息工程大学,环境科学与工程学院,南京信息工程大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
94,王晓晨,南开大学,化学学院,南开大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
95,张振杰,南开大学,化学学院,南开大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
96,王鑫,南开大学,环境科学与工程学院,南开大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
97,刘书琳,南开大学,化学学院,南开大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
98,贡红日,南开大学,生命科学学院,南开大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
99,刘阳,南开大学,化学学院,南开大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
100,金亮,南开大学,物理学院,南开大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
101,李仙岳,内蒙古农业大学,水利与土木建筑工程学院,内蒙古农业大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
102,徐江飞,清华大学,化学系,清华大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
103,郭增才,清华大学,基础医学院,清华大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
104,郑撼球,清华大学,基础医学院,清华大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
105,曹知勉,厦门大学,近海海洋环境科学国家重点实验室,厦门大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
106,许振浩,山东大学,岩土工程中心,山东大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
107,张存生,山东大学,材料科学与工程学院,山东大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
108,王显伟,山东大学,生命科学学院,山东大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
109,宋勇峰,山东第一医科大学,附属中心医院,山东第一医科大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
110,杨绪勇,上海大学,机电工程与自动化学院,上海大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
111,颜徐州,上海交通大学,化学化工学院,上海交通大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
112,蔡子,上海交通大学,物理天文学院,上海交通大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
113,史志文,上海交通大学,物理天文学院,上海交通大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
114,蔡宇伽,上海交通大学,系统生物医学研究院,上海交通大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
115,卞振华,上海师范大学,生命与环境科学学院,上海师范大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
116,包小华,深圳大学,土木与交通工程学院,深圳大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
117,程冲,四川大学,高分子科学与工程学院,四川大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
118,丁明明,四川大学,高分子科学与工程学院,四川大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
119,吴锦荣,四川大学,高分子科学与工程学院,四川大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
120,刘明春,四川大学,生命科学学院,四川大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
121,张晓东,天津大学,医学工程与转化医学研究院,天津大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
122,郑旺,天津大学,地球系统科学学院,天津大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
123,张雷,天津大学,化工学院,天津大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
124,李冰,同济大学,汽车学院,同济大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
125,王群明,同济大学,测绘与地理信息学院,同济大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
126,苏建忠,温州医科大学,眼视光医院,温州医科大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
127,刘郑,武汉大学,生命科学学院,武汉大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
128,周宇,武汉大学,生命科学学院,武汉大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
129,张振涛,武汉大学,人民医院神经内科,武汉大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
130,郭宇铮,武汉大学,动力与机械学院,武汉大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
131,张楹,武汉大学,中南医院医学研究院,武汉大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
132,胡冉,武汉大学,水利水电学院,武汉大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
133,王登甲,西安建筑科技大学,建筑设备科学与工程学院,西安建筑科技大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
134,王昌河,西安交通大学,生物医学,西安交通大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
135,吴少伟,西安交通大学,公共卫生学院,西安交通大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
136,戴玉超,西北工业大学,电子信息学院,西北工业大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
137,田威,西北工业大学,化学与化工学院,西北工业大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
138,岳超,西北农林科技大学,水土保持研究所,西北农林科技大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
139,刘志常,西湖大学,理学院,西湖大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
140,李小波,西湖大学,生命科学学院,西湖大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
141,谢琦,西湖大学,生命科学学院,西湖大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
142,卢培龙,西湖大学,生命科学学院,西湖大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
143,陶亮,西湖大学,生命科学学院,西湖大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
144,白杨,西南石油大学,石油与天然气工程学院,西南石油大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
145,楼栋,香港科技大学,金融研究院,香港科技大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
146,李步扬,香港理工大学,应用数学系,香港理工大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
147,聂安民,燕山大学,亚稳材料制备技术与科学国家重点实验室,燕山大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
148,罗彦斌,长安大学,公路学院,长安大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
149,赵辉,长江大学,石油工程学院,长江大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
150,陆展,浙江大学,化学系,浙江大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
151,陈喜群,浙江大学,建筑工程学院,浙江大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
152,陈淑洁,浙江大学,附属邵逸夫医院,浙江大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
153,胡薇薇,浙江大学,附属第二医院药学部,浙江大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
154,廖祖维,浙江大学,化学工程与生物工程学院,浙江大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
155,范修林,浙江大学,材料科学与工程科学学院,浙江大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
156,孙文平,浙江大学,材料科学与工程科学学院,浙江大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
157,王亮,浙江大学,化学工程与生物工程学院,浙江大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
158,赵骞,浙江大学,化学工程与生物工程学院,浙江大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
159,张军辉,浙江大学,机械工程学院,浙江大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
160,叶肖伟,浙江大学,建筑工程学院,浙江大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
161,由庆,中国地质大学(北京),能源学院,中国地质大学(北京),国家杰出青年科学基金获得者,2025,Unionpub学术,
162,张宝刚,中国地质大学(北京),水资源与环境学院,中国地质大学(北京),国家杰出青年科学基金获得者,2025,Unionpub学术,
163,王伦澈,中国地质大学(武汉),地理与信息工程学院,中国地质大学(武汉),国家杰出青年科学基金获得者,2025,Unionpub学术,
164,张洪艳,中国地质大学(武汉),计算机学院,中国地质大学(武汉),国家杰出青年科学基金获得者,2025,Unionpub学术,
165,赵新福,中国地质大学(武汉),资源学院,中国地质大学(武汉),国家杰出青年科学基金获得者,2025,Unionpub学术,
166,赵建,中国海洋大学,环境科学与工程学院,中国海洋大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
167,徐集贤,中国科学技术大学,化学与材料科学学院,中国科学技术大学,国家杰出青年科学基金获得者,2025,Unionpub学术,
