序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
48,卢德芬,山西农业大学,生命科学学院,山西农业大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
49,许晶晶,上海辰山植物园,生命科学学院,中国科学院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
50,罗敏,上海海洋大学,海洋科学与生态环境学院,上海海洋大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
51,刘一为,上海交通大学医学院,附属上海儿童医学中心,上海交通大学医学院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
52,王寒菁,上海交通大学,数学科学学院,上海交通大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
53,李隽,深圳大学,土木与交通工程学院,深圳大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
54,朱勤,深圳大学,药学院,深圳大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
55,米旭旭,深圳理工大学,网络系统与网络安全研究中心,深圳理工大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
56,殷志斌,深圳先进光源研究院,地球系统科学学院,深圳先进光源研究院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
57,徐鹏,天津大学,化学系,天津大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
58,张发光,天津大学,电气自动化与信息工程学院,天津大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
59,李志磊,天津大学,电气自动化与信息工程学院,天津大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
60,陈环光,同济大学,海洋与地球科学学院,同济大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
61,王周震,温州医科大学,附属第一医院,温州医科大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
62,宋林浩,温州医科大学,药学院,温州医科大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
63,肖涛,武汉大学,电气与自动化学院,武汉大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
64,原亚南,武汉大学,土建学院,武汉大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
65,黄易,武汉大学,土建学院,武汉大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
66,沈兴,西安电子科技大学,集成电路学院、杭州研究院,西安电子科技大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
67,唐中,西安电子科技大学,集成电路学院、杭州研究院,西安电子科技大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
68,王牧,西安交通大学,第一附属医院,西安交通大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
69,刘向阳,西北工业大学,自动化学院,西北工业大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
70,赵世杰,西北农林科技大学,动物科技学院,西北农林科技大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
71,陈宁,西湖大学,生命科学学院,西湖大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
72,张越,西南石油大学,地球科学与技术学院,西南石油大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
73,肖凯,香港城市大学,机械工程系,香港城市大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
74,贾倍鑫,香港科技大学（广州）,智能交通与自动化学院,香港科技大学（广州）,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
75,崔建波,香港理工大学,应用数学系,香港理工大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
76,高品,香港中文大学（深圳）,材料科学与工程学院,香港中文大学（深圳）,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
77,金柯,扬州大学,农学院,扬州大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
78,穆青翼,长安大学,地质工程与测绘学院,长安大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
79,叶胥,浙江大学,流体工程研究所,浙江大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
80,刘超,浙江大学,控制科学与工程学院,浙江大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
81,蔡金孟,郑州大学,化学学院,郑州大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
82,俞磊川,中国地震局地质研究所,地震学与地球内部物理学研究室,中国地震局,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
83,李鑫星,中国计量大学,材料与化学学院,中国计量大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
84,龚海楠,中国科学院大气物理研究所,中层大气与全球环境探测实验室,中国科学院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
85,徐伟,中国科学院金属研究所,材料科学部,中国科学院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
86,张龙,中国科学院金属研究所,材料科学部,中国科学院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
87,谭浩,中国科学院南京地理与湖泊研究所,湖泊与环境国家重点实验室,中国科学院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
88,刘希,中国科学院沈阳自动化研究所,机器人学国家重点实验室,中国科学院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
89,许驰,中山大学,公共卫生学院（深圳）,中山大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
90,吕佳蔚,中山大学,肿瘤防治中心放疗科,中山大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
91,武海亮,中山大学,肿瘤防治中心,中山大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
92,张亭亭,中山大学,附属第八医院,中山大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
93,黄怀义,中山大学,药学院,中山大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
94,林伟,中山大学,大气科学学院,中山大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
95,吴晓妹,重庆大学,大气科学学院,重庆大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
96,陈陵,重庆大学,肿瘤学系,重庆大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
97,成立,重庆大学,电气工程学院,重庆大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
98,彭凯,重庆理工大学,机械工程学院,重庆理工大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
99,王艳,中国石油大学（北京）,化学工程与环境学院,中国石油大学（北京）,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
100,潘原,中国石油大学（华东）,化学化工学院,中国石油大学（华东）,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
101,邓晓雅,中国水利水电科学研究院,水资源研究所,中国水利水电科学研究院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
102,王彩霞,中国中医科学院中药研究所,中药资源中心,中国中医科学院,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
103,刘国洋,中南大学,自动化学院,中南大学,国家优秀青年科学基金获得者,2025,willnanobio.com,https://www.willnanobio.com
