序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
132,吴少伟,西安交通大学,公共卫生学院,西安交通大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
133,戴玉超,西北工业大学,电子信息学院,西北工业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
134,田超,西北工业大学,化学与化工学院,西北工业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
135,岳超,西北农林科技大学,水土保持研究所,西北农林科技大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
136,刘志常,西湖大学,理学院,西湖大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
137,李小波,西湖大学,生命科学学院,西湖大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
138,谢琦,西湖大学,生命科学学院,西湖大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
139,卢培龙,西湖大学,生命科学学院,西湖大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
140,陶亮,西湖大学,生命科学学院,西湖大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
141,白杨,西南石油大学,石油与天然气工程学院,西南石油大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
142,李步扬,香港理工大学,应用研究院,香港理工大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
