序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
197,陈富强,香港大学,李嘉诚医学院,香港大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
198,马冠一,香港科技大学,金融数学系,香港科技大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
199,李步扬,香港理工大学,应用生物及化学科技学系,香港理工大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
200,聂安民,香港理工大学,应用物理学系,香港理工大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
201,郑子剑,香港理工大学,应用物理学系,香港理工大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
202,佳明,香港理工大学,应用物理学系,香港理工大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
203,任安,香港中文大学,电子工程学系,香港中文大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
204,聂安民,燕山大学,亚稳材料全国重点实验室,燕山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
205,罗彦斌,长安大学,公路学院,长安大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
206,赵彦辉,长江大学,石油工程学院,长江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
207,陆展,浙江大学,化学系,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
208,陈喜群,浙江大学,建筑工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
209,陈淑洁,浙江大学,附属邵逸夫医院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
210,胡薇薇,浙江大学,附属第二医院药学部,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
211,廖祖维,浙江大学,化学工程与生物工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
212,孙文平,浙江大学,材料科学与工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
213,孙修林,浙江大学,材料科学与工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
214,王赛,浙江大学,化学工程与生物工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
215,赵骞,浙江大学,化学工程与生物工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
216,张军辉,浙江大学,机械工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
217,叶肖伟,浙江大学,建筑工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
218,王豪,浙江大学,农业与生物技术学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
219,于丁一,浙江大学,医学院附属第二医院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
220,蔡青青,浙江大学,光电科学与工程学院,浙江大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
