序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
91,王寒菁,深圳大学,数学科学学院,深圳大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
92,张媛媛,深圳大学,土木与交通工程学院,深圳大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
93,殷勤,深圳理工大学,药学院,深圳理工大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
94,朱光旭,深圳市大数据研究院,网络系统优化研究中心,深圳市大数据研究院,国家优秀青年科学基金获得者,2025,Unionpub学术,
95,殷志斌,深圳先进光源研究院,深圳先进光源研究院,深圳先进光源研究院,国家优秀青年科学基金获得者,2025,Unionpub学术,
96,宾正杨,四川大学,化学学院,四川大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
97,冯良文,四川大学,化学学院,四川大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
98,徐鹏,天津大学,地球系统科学学院,天津大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
99,张发光,天津大学,化学系,天津大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
100,李忠磊,天津大学,电气与电子工程学院,天津大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
101,陈怀震,同济大学,海洋与地球科学学院,同济大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
102,王周光,温州医科大学,附属第一医院,温州医科大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
103,宋林涛,温州医科大学,药学院,温州医科大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
104,肖淞,武汉大学,电气与自动化学院,武汉大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
105,原亚南,武汉大学,土建学院,武汉大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
106,黄兴,武汉大学,土建学院,武汉大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
107,易红,武汉大学,高等研究院,武汉大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
108,尹家波,武汉大学,水利水电学院,武汉大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
109,王巍,武汉大学,计算机学院,武汉大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
110,沈易,西安电子科技大学,集成电路学院、杭州研究院,西安电子科技大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
111,唐中,西安电子科技大学,集成电路学院、杭州研究院,西安电子科技大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
112,刘衍,西安建筑科技大学,建筑学院,西安建筑科技大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
113,王钦阳,西安交通大学,第一附属医院,西安交通大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
114,赵世杰,西北工业大学,自动化学院,西北工业大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
115,陈宁博,西北农林科技大学,动物科技学院,西北农林科技大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
116,白蕊,西湖大学,生命科学学院,西湖大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
117,张越,西湖大学,工学院,西湖大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
118,廖凯,西南交通大学,电气工程学院,西南交通大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
119,肖笛,西南石油大学,地球科学与技术学院,西南石油大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
120,朱平安,香港城市大学,机械工程系,香港城市大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
121,贾帅,香港科技大学(广州),智能交通学院,香港科技大学(广州),国家优秀青年科学基金获得者,2025,Unionpub学术,
122,郭怡鑫,香港科技大学(广州),功能枢纽可持续能源与环境,香港科技大学(广州),国家优秀青年科学基金获得者,2025,Unionpub学术,
123,崔建波,香港理工大学,应用数学系,香港理工大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
124,高品,香港中文大学(深圳),数据科学学院,香港中文大学(深圳),国家优秀青年科学基金获得者,2025,Unionpub学术,
125,仝柯,燕山大学,亚稳材料制备技术与科学国家重点实验室,燕山大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
126,马斌,扬州大学,农学院,扬州大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
127,穆青翼,长安大学,地质工程与测绘学院,长安大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
128,叶承晋,浙江大学,电气工程学院,浙江大学,国家优秀青年科学基金获得者,2025,Unionpub学术,
