高校,杰青人数,优青人数,分型
中国科学院,37,20,领军人才密集型
南京大学,13,2,领军人才密集型
北京大学,10,4,领军人才密集型
中山大学,4,9,领军人才密集型
东南大学,4,8,领军人才密集型
华中科技大学,7,5,领军人才密集型
武汉大学,6,6,领军人才密集型
浙江大学,11,1,领军人才密集型
复旦大学,5,6,领军人才密集型
中国农业科学院,2,6,领军人才密集型
