高校,人才称号,年份,融合后人数,采用来源,来源优先级,冲突说明
北京医院,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
北京大学,国家优秀青年科学基金获得者,2025,4,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
北京大学,国家杰出青年科学基金获得者,2025,10,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
北京大学第三医院,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
北京大学第六医院,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
北京工业大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
北京师范大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
北京师范大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
北京林业大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
北京理工大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
北京科技大学,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
北京科技大学,国家杰出青年科学基金获得者,2025,2,"[""科学家之家公众号""]",2,单源
北京航空航天大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
华东理工大学,国家杰出青年科学基金获得者,2025,1,"[""科学家之家公众号""]",2,单源
华中农业大学,国家优秀青年科学基金获得者,2025,3,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
华中农业大学,国家杰出青年科学基金获得者,2025,1,"[""科学家之家公众号""]",2,单源
华中师范大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
华中科技大学,国家优秀青年科学基金获得者,2025,5,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
华中科技大学,国家杰出青年科学基金获得者,2025,7,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
华北理工大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
华北电力大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
华北电力大学,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
华南师范大学,国家杰出青年科学基金获得者,2025,2,"[""科学家之家公众号""]",2,单源
华南理工大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南京信息工程大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南京农业大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南京医科大学,国家优秀青年科学基金获得者,2025,1,"[""科学家之家公众号2025年优青公示""]",2,单源
南京医科大学,国家杰出青年科学基金获得者,2025,1,"[""科学家之家公众号""]",2,多源冲突已按优先级仲裁
南京大学,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南京大学,国家杰出青年科学基金获得者,2025,13,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南京工业大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南京工业大学,国家杰出青年科学基金获得者,2025,2,"[""willnanobio.com""]",1,单源
南京师范大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南京林业大学,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
南京理工大学,国家杰出青年科学基金获得者,2025,1,"[""科学家之家公众号""]",2,多源冲突已按优先级仲裁
南京航空航天大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,单源
南京航空航天大学,国家杰出青年科学基金获得者,2025,1,"[""科学家之家公众号""]",2,多源冲突已按优先级仲裁
南京财经大学,国家优秀青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
南开大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南开大学,国家杰出青年科学基金获得者,2025,7,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南方医科大学,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南方科技大学,国家杰出青年科学基金获得者,2025,5,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南昌大学,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南昌大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
南昌航空大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
厦门大学,国家优秀青年科学基金获得者,2025,5,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
厦门大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
吉林大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
吉林大学,国家杰出青年科学基金获得者,2025,5,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
同济大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
同济大学,国家杰出青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
哈尔滨医科大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
哈尔滨工业大学,国家优秀青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
哈尔滨工业大学,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
哈尔滨工业大学(深圳),国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
哈尔滨工业大学（深圳）,国家杰出青年科学基金获得者,2025,1,"[""科学家之家公众号2025年杰青公示""]",2,单源
四川农业大学,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
四川大学,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
四川大学,国家杰出青年科学基金获得者,2025,4,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
国家测绘地理信息局,国家杰出青年科学基金获得者,2025,1,"[""willnanobio.com""]",1,单源
国家海洋局,国家优秀青年科学基金获得者,2025,2,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
国家海洋局,国家杰出青年科学基金获得者,2025,1,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
复旦大学,国家优秀青年科学基金获得者,2025,6,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
复旦大学,国家杰出青年科学基金获得者,2025,5,"[""Unionpub学术""]",3,多源冲突已按优先级仲裁
