高校,人才称号,年份,总记录数,唯一姓名数,来源分布,来源数,疑似重复姓名,冲突标记
重庆大学,国家杰出青年科学基金获得者,2025,24,6,"{""Unionpub学术"": 4, ""科学家之家公众号"": 18, ""科学家之家公众号2025年杰青公示"": 2}",3,"[""胡博"", ""郜培文"", ""郝博""]",冲突
重庆理工大学,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""彭凯""]",一致
长安大学,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""穆青翼""]",一致
长安大学,国家杰出青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",3,"[""罗彦斌""]",一致
长江大学,国家杰出青年科学基金获得者,2025,3,3,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",3,,一致
陆军军医大学,国家杰出青年科学基金获得者,2025,13,5,"{""Unionpub学术"": 3, ""willnanobio.com"": 3, ""科学家之家公众号"": 3, ""科学家之家公众号2025年杰青公示"": 4}",4,"[""牛建钦"", ""曾文"", ""范晔""]",冲突
首都医科大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
首都医科大学附属北京天坛医院,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
香港中文大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
香港中文大学(深圳),国家优秀青年科学基金获得者,2025,1,1,"{""Unionpub学术"": 1}",1,,一致
香港中文大学（深圳）,国家优秀青年科学基金获得者,2025,2,1,"{""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,"[""高品""]",一致
香港城市大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""朱平安""]",一致
香港城市大学,国家杰出青年科学基金获得者,2025,1,1,"{""科学家之家公众号"": 1}",1,,一致
香港大学,国家杰出青年科学基金获得者,2025,2,2,"{""科学家之家公众号"": 2}",1,,一致
香港理工大学,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""崔建波""]",一致
香港理工大学,国家杰出青年科学基金获得者,2025,7,4,"{""Unionpub学术"": 1, ""科学家之家公众号"": 4, ""科学家之家公众号2025年杰青公示"": 2}",3,"[""李步扬"", ""聂安民""]",冲突
香港科技大学,国家杰出青年科学基金获得者,2025,2,2,"{""Unionpub学术"": 1, ""科学家之家公众号"": 1}",2,,一致
香港科技大学(广州),国家优秀青年科学基金获得者,2025,2,2,"{""Unionpub学术"": 2}",1,,一致
香港科技大学（广州）,国家优秀青年科学基金获得者,2025,3,3,"{""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 2}",2,,冲突
